Mozilla+Foundation+Mozillan,Abin+Abraham,male,2,
Mozilla+Foundation+Mozillan,Binoy+Balu,unknown,1,
Mozilla+Foundation+Mozillan,Athul+Suresh,unknown,1,
Mozilla+Foundation+Mozillan,Praveen+Sridhar,male,1,
Mozilla+Foundation+Mozillan,PR+Vysakh,unknown,1,
Mozilla+Foundation+Mozillan,Jordan+McCarthy,unknown,2,
Mozilla+Foundation+Mozillan,Rigin+Oommen,unknown,2,
NCS,Harry+Smith,male,1,
Every1Mobile,Algy+Williams,male,1,
Digital+Stewardship+Initiative+Citizen+Lab+University+of+Toronto,Reuben+Binns+r+at+reubenbinnsco,male,1,
Digital+Stewardship+Initiative+Citizen+Lab+University+of+Toronto,Bernard+Tyers+ei8fdb+at+ei8fdborg,unknown,1,
Digital+Stewardship+Initiative+Citizen+Lab+University+of+Toronto,Andrew+Hilts,male,1,
Jam3,Tomasz+Dysinski,male,1,
Goo+Technologies,Victor+Sand,male,1,
The+Center+for+Investigative+Reporting,Aaron+Williams,male,3,
ProPublica,Sisi+Wei,female,1,
ProPublica,Jeremy+B+Merrill,male,1,
ProPublica,Mike+Tigas,male,2,
ProPublica,Manuel+Aristaran,male,1,
ProPublica,Patrick+McGee,male,1,
ProPublica,Ryann+Grochowski+Jones,unknown,1,
ProPublica,TBD,unknown,2,
CommunityRED,Dietrich+Ayala,unknown,1,
CommunityRED,Bernard+Tyers+,male,1,
CommunityRED,Seamus+Tuohy+,male,1,
CommunityRED,Shauna+Dillavou,female,1,
Code+for+America,Jeremia+Kimelman,unknown,1,
Code+for+America,Brielle+Plump,female,1,
Code+for+America,Hannah+Young,female,1,
Code+for+America,Becca+Blazak,female,1,
Code+for+America,David+Leonard,male,1,
Code+for+America,Erik+Schwartz,male,1,
atjuliaking,Julia+King,female,1,
ishafiul,Shafiul+Azam+Chowdhury,unknown,1,
Drum+Roll+HQ,Joe+Dytrych,unknown,2,
Drum+Roll+HQ,Leonie+Van+Der+Linde,female,2,
Drum+Roll+HQ,Dee+Saigal,unknown,2,
Commons+Machinery,Peter+Liljenberg,male,1,
Commons+Machinery,Jonas+Oberg,male,2,
The+New+York+Times+RD+Labs,Jacqui+Maher,unknown,2,
The+New+York+Times+RD+Labs,Jane+Friedhoff,female,2,
Wiredsafety,Allan+McCullough+pres+of+Canadas+child+safety+research+and+innovation+center+students+a+teacher+one+industry+leader+and+a+parent,male,1,
Wiredsafety,Parry+Aftab,male,1,
Adagio++Chattanooga+Music+Resource+Center,Emily+Kate+Boyd+,female,1,
Adagio++Chattanooga+Music+Resource+Center,Dipesh+Monga,male,1,
Adagio++Chattanooga+Music+Resource+Center,Warren+McCrickard+,male,1,
Adagio++Chattanooga+Music+Resource+Center,Jonathan+Susman,male,1,
Mozilla+Uganda,Andrea+Wood,unknown,1,
Mozilla+Uganda,Ben+Moskowitz,male,1,
Mozilla+Uganda,Mark+Surman,male,1,
Mozilla+Uganda,Echodu+Moses,unknown,1,
Mozilla+Uganda,San+Emmanuel+James,unknown,3,
Mozilla+Uganda,Alisa+Cordesius,female,1,
Mozilla+Uganda,Lawrence+Kisuuki,male,2,
Mozilla+Uganda,Louisa+Nagujja,female,1,
Mozilla+Uganda,Azlen+Elza,unknown,1,
Mozilla+Uganda,Asa+Lugada,unknown,1,
The+LAMP,Alan+Berry++tentative,male,1,
The+LAMP,DC+Vito,unknown,1,
Ushahidi,Jonathon+Morgan,male,1,
rishavraj,Kumar+Rishav,male,2,
University+of+Florida+Mobiquity,Matt+Waite,male,1,
University+of+Florida+Mobiquity,Dave+Stanton,male,1,
codebender,Vasilis+Georgitzikis,male,1,
akshaytwr,Akshay+Tiwari,male,1,
Peggy+Notebaert+Nature+Museum++Hive+Chicago,Emmanuel+Pratt+Sweet+Water+Foundation++Hive+Chicago+,male,1,
Peggy+Notebaert+Nature+Museum++Hive+Chicago,David+Bild,male,1,
fabiomagnoni,Fabio+Magnoni,male,2,
O2+Think+Big++National+Youth+Agency,Katy+Neilson,female,1,
kashboss,Joseph+Bosire,male,1,
Connected+Learning+Alliance,Sima+Patel,female,1,
Connected+Learning+Alliance,Tara+Tiger+Brown,female,1,
Connected+Learning+Alliance,Tim+Young,male,1,
starkness,Elizabeth+Stark,female,1,
AyzAnitah+MozRwanda,Ezres+Az+Anitah,unknown,1,
Engine,Julie+Samuels,female,1,
O2+Think+Big,Ben+Plain,male,2,
Zooniverse,Laura+Whyte,female,1,
Zooniverse,Robert+Simpson,male,1,
Zooniverse,Brooke+Simmons,unknown,1,
Zooniverse,Grant+Miller,male,1,
Zooniverse,Victoria+Van+Hyning,female,1,
Zooniverse,Brian+Carstensen,male,1,
None,Bernard+Tyers,male,2,
Open+Knowledge+Ireland,Ingo+Keck,male,1,
Open+Knowledge+Ireland,Salua+Nassabay,unknown,1,
